Time[s],Speed[m/s],X[m],Z[m],Y[m]
149.0027909,5.161924704,61.12405836,-93.21470701,-0.344176806
149.9926145,5.770939502,66.86218282,-91.20207883,-0.427292574
150.9860337,6.400396403,74.1418992,-89.7454253,-0.539564054
151.9985311,6.977250024,81.23316559,-85.37546468,-0.691258346
152.9973857,7.426258017,87.56219838,-81.36132783,-0.880648295
154.1394567,7.767620613,96.19504433,-77.6140588,-1.138884852
155.1566362,7.929799204,101.6676171,-72.92163289,-1.391380399
156.1635849,7.988798908,108.2621236,-68.86301807,-1.643509595
157.124429,7.979459702,115.2591509,-64.99343462,-1.870995172
158.1185939,7.923638281,121.9050176,-60.1786943,-2.082462155
159.1367226,7.828896476,128.4566652,-55.18604209,-2.269496011
160.1432495,7.700561736,134.8798411,-50.30458481,-2.426488806
161.159945,7.536013405,138.4167861,-43.14363154,-2.56207578
162.1370351,7.347180104,138.510855,-35.43782312,-2.676484144
162.9926255,7.161662722,136.4295972,-28.31022832,-2.767795956
164.0060561,6.924648905,133.2863811,-21.89428106,-2.868497884
164.9983675,6.680741501,129.5179884,-16.21222031,-2.961162992
166.1061308,6.398152543,125.7838593,-10.58575702,-3.058525306
167.1865103,6.111090438,122.0839974,-5.248400538,-3.147226592
168.1257896,5.850668863,118.9236982,-0.389182243,-3.218982459
169.120245,5.565174816,116.0717231,4.069734315,-3.289201529
170.1893516,5.254715303,112.5945507,9.106864492,-3.357975052
171.1393986,4.988028464,109.9823848,13.39898866,-3.413422124
172.106107,4.740277145,107.4301762,17.36864754,-3.46480621
172.8769968,4.56896739,106.2225906,19.0921689,-3.502549217
173.0003464,4.544068654,105.2719413,20.24859614,-3.508347581
174.0629685,4.361433815,102.3257834,24.07370162,-3.555981689
175.2793834,4.217807047,99.87635049,28.26575035,-3.60621845
175.9951229,4.157786774,97.68386007,31.49040323,-3.634103786
177.0079322,4.086345191,94.86617724,35.04864088,-3.671923396
178.0124817,4.009647391,92.40819847,38.34001071,-3.707788582
179.0423081,3.904647924,89.96734886,41.75369495,-3.742931599
180.029454,3.770150832,87.39804052,44.93386986,-3.774975265
181.163054,3.580516397,84.56324562,47.88053541,-3.809541445
182.1124301,3.408185093,81.83123998,49.29271098,-3.836483996
183.1322613,3.229502587,78.91940509,48.89240925,-3.863286447
184.1476841,3.075074363,75.76778046,47.56918962,-3.887777903
185.1058753,2.959481577,72.94159908,45.89014623,-3.908938362
186.1217561,2.87020096,70.38947024,44.4112537,-3.929365551
187.1540327,2.809320178,68.07713667,43.21034849,-3.947987835
188.1234822,2.771514793,65.50787327,42.23183314,-3.963395547
